Comment,Designator,Footprint,LCSC,Quantity
1K,"R1,R10,R2,R3,R4,R5,R6,R7,R8,R9",R_0805_2012Metric,C17513,10
Fuse,"F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9",3557-2,C352820,12
LED RED,"D1,D10,D2,D3,D4,D5,D6,D7,D8,D9",LED_0805_2012Metric,C84256,10
SRA-12VDC-CL,"K1,K10,K2,K3,K4,K5,K6,K7,K8,K9",SRA12VDCCL,C60169,10
